scene_id,scene_text,in_summary,aspects
0,"[' ( Brass and Sofia stand around a dead body while Grissom crouches down to examine it closer . )', ' [[Brass]] so , the gang unit says our d.b', ' [[Brass]] is a sixteen-year-old tyson plummer', ' [[Sofia_Curtis]] how many holes in the victim ?', ' [[Grissom]] i count four', ' [[Sofia_Curtis]] eleven shell casings', ' [[Sofia_Curtis]] shooter emptied the gun -- so he was moving and shooting', ' [[Sofia_Curtis]] only hit the vic four times', ' [[Grissom]] she talks to herself', ' [[Brass]] hey , it works for me', ' [[Sofia_Curtis]] bullets that missed hit the outside building wall', ' ( She turns and looks back at the gun holes in the outside building wall . )', ' [[Kid_1]] hey , man , what ya doing in my back alley !', "" ( Greg is standing on the side mapping the area when the kid 's shouts draw his attention . )"", ' ( On the sidewalk , he sees two kids playing near the trash . )', ' ( One kid holds out his hand as if holding a gun at the other kid . )', ' [[KIDN_1]] bang , bang , bang , bang', "" [[Kid_2]] man , you know andre did n't cap him like that"", ' ( Greg ducks under the crime scene tape and makes his way toward the two kids who continue arguing . )', ' [[Kid_1]] did too', ' [[Kid_2]] did not !', ' [[Kid_1]] did too !', ' [[Kid_2]] how you gon na tell me ?', ' [[Kid_1]] i saw him', ' [[Greg]] hey , guys , can i talk to you for a sec ?', ' [[Kid_2]] run !', ' ( The two kids turn , see Greg and run . )', ' ( Greg continues to walk slowly toward them . )', ' [[Greg]] i just want to ask you a few questions', ' ( The older kid turns and bumps into the trash bin He falls , scrambles to his feet and runs . )', "" ( Greg does n't chase after them . )"", ' [[Kid_2]] yo man !', ' [[Kid_2]] wait up !', ' ( The kids disappear down the block . )', ' ( Greg turns and sees something disturbing . )', ' ( He kneels down to get a better look at a dead body in a trash bin )', ' ( The dead child is rail thin and shoved into the trash bin )', ' ( Greg dials his phone . )', ' [[Greg]] grissom', ' [[Grissom]] go ahead , greg', ' [[Greg]] we got a young male d.b', ' [[Greg]] by the dumpster', "" [[Grissom]] i 'll be right there"", ' ( Grissom glances at Brass . )', ' ( He walks over to the dumpster where Greg is standing . )', ' ( At the crime scene tape surrounding the empty lot , a young man ducks under it . )', ' ( The officer guarding the tape tries to stop him . )', ' [[Officer]] hey , hey !', "" ( He knocks the officer 's hands away . )"", ' [[Leo_Plummer]] get your damn hands off me !', ' ( Sofia turns around to look at the disturbance . )', ' ( Brass approaches the officer and Leo Plummer . )', ' [[Brass]] whoa , whoa', "" [[Brass]] i ca n't let you touch him"", "" [[Brass]] what 's your name ?"", ' ( The young man gets a look at the dead body on the ground and he gasps . )', "" [[Leo_Plummer]] i 'm plummer"", ' [[Leo_Plummer]] leo', "" [[Leo_Plummer]] that 's my brother right there"", "" [[Leo_Plummer]] they did n't have to do him like that , dawg"", ' [[Brass]] i know you know who did this , leo', "" [[Leo_Plummer]] ai n't your problem , man"", ' [[Leo_Plummer]] whoever did this is gon na get got', "" [[Brass]] oh , no , do n't say stuff like that"", ' [[Brass]] because only two things can happen : you in shackles or you on a slab', "" [[Brass]] so , let 's break the odds this time"", ' [[Brass]] what do you say ?', ' [[Leo_Plummer]] you done with me , bacon ?', "" [[Leo_Plummer]] 'cause i got family to go bury"", ' ( Leo turns and heads back to the crime scene tape . )', ' ( Brass turns and heads back to the body . )', ' [[Brass]] yeah', "" ( Near the tape , there 's a disturbance as voices rise . )"", ' ( Camera whirls around and we see another young man running through the crowd toward Leo Plummer . )', "" ( He pulls out a gun and fires at Leo Plummer 's back . )"", ' ( Leo is shot point blank several times in the back . )', ' ( Grissom is examining the body and is startled by the gunshots . )', ' ( He looks up . )', ' ( Greg moves to take cover behind the dumpster . )', ' ( A woman screams as the gunshots end . )', ' ( The young man with the gun takes off running . )', ' ( The crowd disburses . )', ' [[Officer]] this is lincoln three', "" [[Officer]] we 've got a four-fifteen-a on scene"", ' ( Grissom watches as Sofia takes off running after the suspect alongside several other officers . )', ' ( Grissom looks at Greg . )', ' [[Grissom]] you okay ?', "" [[Greg]] hell no , i 'm not okay"", "" [[Greg]] who the hell 's shooting at us ?"", "" [[Grissom]] i do n't know , but i think our single just turned into a triple"", ' ( Grissom stands up and heads for the newest body at the scene . )']",1,Victim
1,"[' ( Sara walks up to David Phillips and Greg around the body of the kid in the rubber trash bin Greg snaps photos as David checks the kid out . )', ' ( In the background , we hear the indistinct police radio transmissions . )', ' ( Sara slows down and puts her kit on the sidewalk as she kneels in front of the body . )', ' [[Greg]] somebody tried to just throw him out with the trash', "" [[Sara]] if the dumpster was n't full he would 've ended up at the landfill"", "" [[David_Phillips]] he has n't been dead long"", "" [[David_Phillips]] he 's just coming out of rigor , so i 'd say less than twenty-four hours"", "" [[Sara]] he was n't in the box long enough to mummify , but the kid looks like an ad for hunger relief"", "" [[Sara]] okay , let 's , um , transport him in situ"", ' ( Sara turns and looks at Greg . )', ' [[Sara]] be very careful moving the body', ' [[Sara]] you okay ?', ' [[Greg]] yeah', ' [[Greg]] fine', ' ( Off to the side , two officers struggle with a man in handcuffs . )', "" [[Officer]] come on , let 's go"", ' [[Man]] rodney king , yo !', ' [[Man]] rodney king', ' [[Man]] yo !', "" [[Man]] y'all see this ?"", "" [[Man]] that 's rodney king , dawg !"", ' [[Man]] let me go , dawg !', ' [[Man]] let me go , man !', ' ( The two officers lead the man in handcuffs to the car and put him in the backseat . )', ' ( Sofia walks back toward Grissom and Brass . )', ' [[Man]] get off me , man !', "" [[Man]] that 's rodney king , dawg !"", ' [[Man]] let me ... get off !', ' [[Man]] get off me !', ' [[Man]] get off !', ' [[Man]] get off me !', ' [[Man]] bitches !', ' [[Man]] we call it brutality !', ' ( The car door slams shut . )', ' [[Brass]] so , uh ... you think these concerned citizens are taping the capture of a vicious killer ?', ' ( Brass points back to the observers behind the crime scene tape with their camcorders out . )', ' ( The coroners lift up the gurney with the wrapped body on it . )', "" [[Grissom]] if they 're taping now , maybe they caught that second shooting on video"", ' [[Grissom]] maybe you could collect the cameras', ' ( Brass looks at Sofia and taps his own temple . )', ' ( He smiles and chuckles as he leaves . )', ' ( Grissom turns and looks at Sofia . )', ' [[Brass]] i love this guy', "" [[Grissom]] it says 'forensics ' on our jacket"", "" [[Sofia_Curtis]] i 'm aware of that"", ' [[Grissom]] we had plenty of cops chasing the suspect', "" [[Sofia_Curtis]] i was n't chasing the suspect"", ' [[Sofia_Curtis]] i was chasing the evidence', ' [[Sofia_Curtis]] i knew the idiot was likely to dump the gun', ' ( She takes out the bagged gun and hands it to Grissom . )', ' [[Sofia_Curtis]] all we have to do is ballistics-match the weapon to both victims case closed', ' ( Grissom takes the gun and looks at Sofia . )']",0,None
2,"[' ( The door buzzes and opens for Warrick and Nick . )', ' [[Warrick]] hey', ' [[Nick]] hey , man', "" [[Det._Vartann]] what 's up ?"", ' [[Nick]] thanks', ' ( They walk through the door and meet with Det Vartann . )', ' [[Det._Vartann]] suspects wait in central holding to be processed and transferred to jail', ' [[Det._Vartann]] they assaulted the officers with feces and then the cops went in', ' [[Nick]] great', ' [[Warrick]] to bust some heads', ' ( The closer they get , the smellier it gets . )', ' ( On the floor are the brown feces stains . )', "" [[Nick]] hoo ... so , you 've got a samuel mendez with a cracked skull listed as death imminent , right ?"", ' ( They stop in front of the cell with the crime scene taped around it . )', ' [[Det._Vartann]] yeah', "" [[Det._Vartann]] it 's why they kicked it up to homicide"", ' [[Warrick]] you think the cops used excessive force here ?', ' ( Nick puts his case down and walks over to the empty cell . )', "" [[Det._Vartann]] well , if they did it 's mitigating circumstances"", ' [[Warrick]] yeah', ' ( The officer removes the tape to open the cell . )', ' ( Nick looks at the mess on the wall . )', "" [[Nick]] yeah , well , if they'd 've thrown a bunch of feces at me , i would have cracked some skulls too"", "" ( On the middle of the bare floor , there 's a gun . )"", "" [[Nick]] this is the last place i thought i 'd see a gun"", ' [[Det._Vartann]] it was found under the victim', ' [[Nick]] could be his', ' [[Warrick]] arresting officer must have done a lousy search', ' ( Warrick puts a ruler down and snaps a photo of the gun . )', ' ( Nick stands up and looks around the small cell at the mess . )', ' [[Nick]] wow ... this is a lot of crap', ' [[Nick]] what , did they squat on cue ?', ' [[Warrick]] overflowing toilet', "" [[Warrick]] there 's enough ammunition right there"", ' [[Nick]] so , the cops bust in to get the prisoners under control when they start throwing raw sewage ?', ' ( Quick flash of : The prison cell doors open and the guards enter . )', ' ( The fight between the guards and the prisoners starts . )', ' ( End of flash . )', ' ( Resume to present . )', ' [[Warrick]] well , there must have been some real bad asses in here', ' [[Warrick]] looks like it got pretty heated']",1,"Crime scene,Victim"
3,"[' ( The prisoners are lined up in a row . )', "" ( They 're all wearing towels and carrying their clothes . )"", ' [[Overhead]] ... security officers for lockdown debriefing', ' ( An officer puts a package on the car next to the other packages . )', ' ( The next prisoner steps up to Nick . )', ' [[Nick]] you want to tell me what happened here ?', ' ( The prisoner has a large bruise around his left eye . )', ' [[Prisoner_1]] cops iced the kid', ' [[Prisoner_1]] what else you want to know ?', ' ( Nick takes a photo of the prisoner . )', ' [[Prisoner_1]] could tell he was a fish from the jump , though', ' [[Nick]] a fish ?', ' ( Nick snaps another photo . )', ' [[Prisoner_1]] new to the game', ' ( The officer takes his boots . )', ' [[Officer]] you want to go to the hold , boy ?', ' ( The next prisoner steps up and spits in front of Nick into something off screen . )', ' ( Nick stares up at the very tall Prisoner 2 . )', ' [[Prisoner_2]] what ?', ' ( The prisoner hands the guard his shoes . )', ' ( Nick takes a couple of photos . )', ' [[Nick]] you see what happened ?', ' ( Prisoner 3 is sporting a large bruise on his left eye , which is shut from the swelling . )', ' [[Prisoner_3]] the po-po gutted the fish', ' [[Prisoner_3]] i saw the whole thing', ' [[Prisoner_3]] same thing they did to me', ' [[Prisoner_3]] two beatings in one day', ' [[Prisoner_3]] rodney king , yo', ' ( Nick snaps a photo of Prisoner 3 . )']",1,Perpetrator
4,"["" ( Catherine is standing next to the victim 's bed . )"", ' ( The victim is hooked up to a lot of machines - still alive , but barely . )', ' ( Next to the bed , she has a camera set up on a tripod . )', "" ( She holds the ruler against the injuries on the victim 's head and snaps a couple of photos of it . )"", "" [[Dr._Franks]] i 'm sorry , uh , who are you ?"", "" [[Catherine]] i 'm catherine willows"", "" [[Catherine]] i 'm with the crime lab"", ' [[Dr._Franks]] oh', "" [[Dr._Franks]] i 'm dr franks , attending"", ' [[Dr._Franks]] have you located his family yet ?', ' [[Catherine]] no', ' [[Dr._Franks]] i need to find someone to sign a release , take him off the ventilator', "" [[Catherine]] he 's brain dead ?"", ' [[Dr._Franks]] oh , yeah', "" [[Dr._Franks]] i 'm hoping the family will donate his organs"", ' [[Catherine]] tell me about his injuries', "" [[Dr._Franks]] he 's got blunt-force trauma to the frontal and sphenoid bones"", ' ( Quick flashback to : The victim is punched in the face . )', ' ( End of flashback . )', ' [[Dr._Franks]] it fragmented his skull , damaged his temporal arteries and imbedded in his brain', ' ( Quick CGI POV : The brain cuts and blood spills out . )', ' ( End of CGI POV . )', ' ( Quick flash to : The victim falls to the ground with blood running down his face . )', ' ( End of flash . )', ' [[Catherine]] well , those are shoe prints on his face , which suggests that he was attacked while he was down', ' ( Quick flash of : The victim is already down on the ground . )', ' ( Someone stomps on him with the heel of his boot . )', ' ( End of flash . )', ' [[Dr._Franks]] well , he came from county lock-up', ' [[Dr._Franks]] must have been a hell of a fight']",1,Death cause
5,"[' ( The lid is removed from the rubber bin Sara holds the flashlight above and looks into the bin at the dead boy . )', "" ( She sees some blond-colored hair on the boy 's jeans . )"", "" ( David Phillips reaches into the bin to carry the boy 's body out . )"", ' ( Sara glances at Greg . )', ' ( David removes the body . )', ' ( Greg replaces the lid on the bin and removes the bin off the table . )', ' ( David puts the body on the table . )', "" ( Sara takes a tape lift of the blond-colored hair from the boy 's jeans . )"", ' ( Someone coughs . )', ' ( She puts the tape lift on the side . )', ' ( Greg examines the bin Inside , he finds some yellow powder and nail scratchings . )', ' ( He takes a sample of the powder . )', ' ( Back on the body , Sara finds another blond-colored hair strand . )', ' ( She picks it off of the jeans and puts it in a plastic baggie . )']",0,Evidence
6,"[' ( Robbins goes over his findings with Sara . )', ' ( He shows her the x-rays . )', "" [[Robbins]] the victim 's about five years old"", ' [[Robbins]] he was just losing his baby teeth', ' [[Robbins]] x-rays show metaphyseal fractures to the right humerus and acromion', "" [[Robbins]] they 're called corner or bucket-handle fractures"", ' [[Sara]] shake the baby ?', "" [[Robbins]] it 's more like snatch and shake"", ' [[Robbins]] violent shaking creates shearing forces , causing fragment fractures at the end of the growth plate', "" [[Robbins]] it 's highly specific for abuse"", ' ( Quick flash of : A little boy is sitting on a swing . )', ' [[Voice_(man)]] i said , get up !', "" ( A hand grabs the boy 's arms and twists . )"", "" ( Quick CGI POV to : The bones inside the boy 's arms break . )"", ' ( End of CGI POV . )', ' ( Resume to present . )', ' [[Sara]] how old do you think these fractures are ?', "" [[Robbins]] well , this kind of fracture does n't usually heal with callus you can easily see"", ' [[Robbins]] my guess , less than six months', ' ( Robbins and Sara turn back to the body . )', ' ( Robbins pulls back the sheet . )', ' [[Sara]] he is emaciated', ' [[Sara]] he looks drawn', ' [[Sara]] the only thing missing is a swollen belly', "" [[Robbins]] it 's called cachexia"", ' [[Robbins]] the soft tissue is diminished and drawn around the skull', "" [[Robbins]] the eyes are sunken , and there 's prominent tenting where the skin should retract"", "" ( Sara touches the body 's ribs . )"", "" [[Sara]] his ribs are poking through his skin he starved to death , did n't he ?"", ' [[Robbins]] c.o.d', ' [[Robbins]] is renal failure due to starvation', ' [[Robbins]] his intestinal tract was virtually empty , except for these brown flecks i found', ' ( He hands Sara a glass container with some powder inside . )', ' ( She looks at it . )', ' [[Robbins]] hepatic steatosis , the liver goes yellow and greasy', ' [[Robbins]] ketoacidosis , fat stores are used for energy , and then rhabdomyolysis - the muscles broken down for fuel', ' [[Robbins]] think of the body as digesting itself', ' ( Quick flash to : A little boy crying . )', "" ( The camera zooms in toward the boy 's chest . )"", ' ( Quick CGI POV to : The skin on the chest dries up and stretches over his ribs . )', ' ( Camera pulls back out past the ribs ... and the clothes ... to the dead little boy in the rubber trash bin )', ' ( End of flash . )', ' ( Resume to present . )', ' [[Sara]] this took weeks', ' [[Robbins]] i have to admit , this seems especially cruel and unusual', ' [[Sara]] when kids are involved , it usually is']",1,Death cause
7,"[' ( Warrick and Det Vartann talk with Lt . )', ' ( Kim . )', "" [[Lt._Arthur_Chen]] it 's 10-by-18-foot cell built for 25 people"", "" [[Lt._Arthur_Chen]] we 've got thirty-five mutts and no place to put the extras"", "" [[Lt._Arthur_Chen]] between the yo 's , the cholos and the rednecks , it was bound to happen"", "" [[Warrick]] thirty-five guys , that 's a lot of men to fit in one room"", ' [[Lt._Arthur_Chen]] cops round them up , we process them', "" [[Lt._Arthur_Chen]] it usually does n't take long , but today we got jammed"", ' [[Det._Vartann]] what was the problem ?', ' [[Lt._Arthur_Chen]] computer went down , plumbing backed up', ' [[Lt._Arthur_Chen]] you name it , we had it', ' [[Det._Vartann]] any rival bangers in the same cell ?', ' [[Lt._Arthur_Chen]] no', ' [[Lt._Arthur_Chen]] i rechecked the roster', "" [[Lt._Arthur_Chen]] we do n't want the yo 's killing each other in custody"", "" [[Lt._Arthur_Chen]] why we bother , i 'll never know"", ' [[Warrick]] you ever think an overcrowded cell mixed with bad plumbing was the reason they threw the contents ?', "" [[Lt._Arthur_Chen]] they do n't need a reason"", ' [[Lt._Arthur_Chen]] bad monkeys at the zoo', ' ( Warrick and Det Vartann both note the slur . )', "" ( There 's an awkward pause . )"", ' [[Det._Vartann]] so , uh , how did the gun get past security ?', ' [[Lt._Arthur_Chen]] arresting officer did a bad search', "" [[Warrick]] do n't you search them again when they get to the holding cell ?"", ' [[Lt._Arthur_Chen]] what ?', "" [[Warrick]] do n't you search them again when they get here ?"", ' [[Lt._Arthur_Chen]] is there something you want to get off your chest ?', ' [[Warrick]] a gun in a cell is sloppy police work , man', ' ( Lt. Kim takes a step forward . )', "" [[Lt._Arthur_Chen]] i do n't like what you 're implying about me or my men"", ' ( Warrick stands up . )', ' [[Warrick]] then maybe you need to dial down your attitude', ' [[Warrick]] a man is brain dead here !', "" [[Warrick]] i do n't care what he was like when he was alive , and neither should you , do n't you think ?"", "" [[Lt._Arthur_Chen]] all i know , there 's one less b*st*rd i got ta watch my back for"", "" [[Lt._Arthur_Chen]] there 's five of us , so the odds are in their favor"", "" [[Lt._Arthur_Chen]] you 're a crime scene tech"", "" [[Lt._Arthur_Chen]] i 'm law enforcement , which means you do n't get to tell me what to do in my jail"", "" [[Warrick]] if i find out you used excessive force on an unarmed prisoner , you wo n't have a jail"", "" [[Lt._Arthur_Chen]] i think we 're done here"", ' ( Lt. Kim heads for the door . )', "" [[Warrick]] i do n't think so"", ' [[Warrick]] not quite', "" [[Warrick]] i 'm going to need your armor , your shields , your boots and your batons"", ' [[Warrick]] right now !', ' ( Lt. Kim stops and turns around . )']",0,None
8,"[' ( Sara is going through stacks of files . )', ' ( Sofia walks into the room . )', "" [[Sofia_Curtis]] i 'll , uh ... ran john doe minor 's dna against the missing persons database"", "" [[Sofia_Curtis]] i 'm sorry , no hits"", "" [[Sara]] yeah , i 'm not surprised"", "" [[Sara]] they did n't care enough to feed him , why would they report him missing ?"", ' ( Sofia pours herself a cup of coffee . )', ' ( She turns around and sees the files on the table in front of Sara . )', "" [[Sofia_Curtis]] what 's going on in here ?"", ' [[Sara]] the victim had a prior abuse fracture', "" [[Sofia_Curtis]] and you 're hoping child protective services investigated ?"", ' [[Sara]] well , based on the age of the victim , the age of the fracture and the break pattern , i found ten possible matches', "" [[Sofia_Curtis]] well , it 's going to take you forever to go through these alone"", "" [[Sara]] i 'll get it done"", ' [[Sofia_Curtis]] it took me a long time to get where i was , sara', "" [[Sofia_Curtis]] now i feel like i 'm starting from scratch"", ' [[Sofia_Curtis]] i miss sleeping at night', ' [[Sofia_Curtis]] i miss my colleagues', ' [[Sofia_Curtis]] i miss', ' [[Sara]] what ?', ' [[Sofia_Curtis]] being trusted', ' ( Sofia turns and leaves the room . )']",0,None
9,"[' ( Warrick pushes the cart full of bagged evidence . )', ' [[Warrick]] okay', ' ( He stops in front of Mia . )', "" [[Mia_Dickerson]] what 's on the menu today , warrick ?"", ' ( He holds up the baggies . )', ' [[Warrick]] a gun ... face shields , vests ... batons ... please run the batons first', ' [[Mia_Dickerson]] why ?', ' [[Mia_Dickerson]] you thinking bad cop ?', ' [[Warrick]] well , the batons were the only weapons inside of the cell', ' [[Warrick]] everything else was fixed', "" ( Warrick 's cell phone rings . )"", "" ( He does n't answer it . )"", ' [[Warrick]] ... to the floor , to the walls', "" ( Warrick 's cell phone continues to ring . )"", ' [[Mia_Dickerson]] you gon na get that ?', ' ( He takes it out and checks the caller ID . )', ' [[Warrick]] no', ' [[Mia_Dickerson]] player', "" [[Warrick]] oh , now i 'm a 'player '"", ' [[Warrick]] you make up your mind pretty quick', "" [[Mia_Dickerson]] i 'll , uh , page you when i get the results"", ' [[Warrick]] yeah ?', ' ( Warrick holds out his phone to Mia , showing her the ID of the caller : G . Sanders . )', ' [[Warrick]] he was a rough one last night , so i called to check on him', "" [[Warrick]] but since i 'm here , i can do it in person"", ' [[Warrick]] anything else you want to say to me ?', ' [[Mia_Dickerson]] have a nice day', ' [[Warrick]] is that it ?', "" [[Mia_Dickerson]] that 's it"", ' ( Sofia walks into the lab . )', ' [[Sofia_Curtis]] am i interrupting ?', ' ( They both turn and look at Sofia . )', ' [[Warrick]] no', ' [[Warrick]] good day', ' ( Sofia walks up to Mia . )', "" [[Sofia_Curtis]] he 's pretty hot"", ' [[Mia_Dickerson]] yeah , well , i think he knows it', ' [[Sofia_Curtis]] anything on the hairs from the plastic coffin ?', "" [[Mia_Dickerson]] ah , yeah , i actually did find one hair with a root tag still attached , and it 's a priority run for me as soon as i get something to compare it to"", ' [[Mia_Dickerson]] sara also collected a bunch of synthetic hairs', "" [[Mia_Dickerson]] i 'm thinking doll , wig , maybe fake fur"", ' [[Mia_Dickerson]] i sent them over to trace']",0,None
