scene_id,scene_text,in_summary,aspects
0,"[' ( Camera pans past a large sign: )', ' ( A large construction machine moves along the cleared land . )', ' ( From the command office , the foreman walks out of the trailer with a cordless phone in his hand . )', "" ( He 's not pleased . )"", ' ( He heads over to the man driving the bulldozer . )', ' [[Foreman]] joe !', ' [[Foreman]] joe !', "" ( He waves his arms high in the air trying to attract Joe 's attention , but the machines are just too loud . )"", ' ( He continues to head toward Joe . )', ' [[Foreman]] joe !', ' [[Foreman]] hey , joe !', ' ( The machines continue to drown out his voice . )', ' ( The foreman walks closer to the work area . )', ' [[Foreman]] joe !', ' [[Foreman]] phone !', ' [[Foreman]] phone !', "" [[Foreman]] i 'm not your damn secretary and your wife 's not my boss !"", ' [[Foreman]] you hear that , cheryl ?', ' [[Foreman]] this is a company phone', ' ( Joe continues to work . )', "" [[Cheryl]] i do n't care !"", ' [[Cheryl]] i want to talk to joe !', ' ( At the sound of her voice , the foreman pulls the phone away from his ear and looks away . )', ' ( Suddenly , his face turns grim as he sees something in the ground in front of him . )', "" ( Cut to : A pair of a woman 's legs half buried in the ground , her high-heeled shoes still on her feet . )"", ' ( Nick looks around the area where the body is . )', "" ( He 's wearing a bandana over his nose and mouth to keep from breathing in the dry dirt . )"", ' ( The dirt around the body is marked by little yellow flags . )', ' ( In the back , Catherine walks with the foreman toward the site . )', "" [[Foreman]] if this is an indian burial ground , i 'm totally screwed"", "" [[Foreman]] i 'll be in litigation for months"", "" [[Catherine]] i ca n't make any promises , sir , but i do n't think the paiute wore heels"", ' ( They reach the site . )', ' ( The officer stops the foreman . )', ' ( Catherine passes Nick , who is busy filling up the marker with paint , and heads over to Warrick , who is examining the body . )', ' [[Officer]] sorry , sir', "" [[Officer]] you ca n't go in there"", ' [[Catherine]] hey !', "" [[Catherine]] what 's it look like ?"", ' ( Warrick looks at the partially buried legs . )', "" [[Warrick]] well ... the body 's been cased in something"", "" [[Warrick]] it 's black"", "" [[Warrick]] it 's flexible ... but it 's pretty stubborn"", ' ( He pokes at the black stuff with his finger . )', "" [[Warrick]] i think it 's roofing tar"", ' [[Warrick]] it keeps the smell and the animals away', ' [[Catherine]] it makes our job a lot harder', "" [[Nick]] we 've got disturbed soil in a three-by-five perimeter"", ' [[Catherine]] okay', ' [[Catherine]] gentlemen !', ' [[Catherine]] start your shovels !', ' ( The drivers of the machines start their engines and dig around the body . )', ' ( The machines dig a hole around the body encased in tar . )', ' ( Nick works on excavating the body . )', ' ( As he works , Catherine and Warrick discuss the body off screen . )', ' [[Catherine]] do you think our jane doe was buried alive ?', "" [[Warrick]] i do n't ' know"", "" [[Warrick]] she was n't just covered , she was completely encased"", ' [[Warrick]] whoever buried her sure had access to a lot of tar', "" [[Warrick]] i 'm thinking a construction worker"", ' [[Catherine]] nick , did you get that last soil sample ?', ' ( Nick brushes away the dirt from under the body and finds a skeletal foot . )', ' [[Nick]] yeah , but i think i got something else too', ' ( Nick pulls his bandana away from his mouth . )', ' [[Nick]] hey , guys', ' [[Nick]] check this out', ' ( Catherine and Warrick walk toward Nick . )', ' [[Nick]] a third foot', ' [[Nick]] looks like we have another body at the bottom', ' ( Camera zooms in through the skeletal foot through all that decay and ends up inside where the skull is focusing on the yellow teeth . )', ' ( End of camera zoom . )', ' ( Resume to present . )', "" [[Catherine]] i do n't know if she was buried alive , but ... she was n't buried alone"", ' ( Catherine raises the camera , looks through the lens and snaps a photo . )']",1,Crime scene
1,"[' ( The large block of tar and rock containing the two bodies now rests on an examining table in the middle of the autopsy bay . )', ' ( David Phillips and the other coroners wheel in the large x-ray equipment . )', ' ( Quick flash to an x-ray image of a skeletal chest is burned onto film . )', ' ( David Phillips adjusts the x-ray equipment , pulling it up to the middle of the block . )', "" ( Quick flash of an x-ray image of a skull as it 's burned onto film . )"", ' ( David Phillips adjusts the x-ray equipment , pushing it down the block . )']",0,None
2,"[' ( The x-ray images of the two bodies in the tar block are out on the table . )', ' ( Doc Robbins goes over the images with Catherine . )', ' [[Robbins]] two sets of hands', ' [[Robbins]] two sets of feet', ' [[Robbins]] two skulls , two bodies', ' [[Robbins]] both appear to be female', "" [[Robbins]] jane doe bottom 's curled up"", "" [[Robbins]] jane doe top 's laid out flat"", "" ( Catherine points to the wire across the skull 's teeth . )"", ' [[Catherine]] this looks like ... barbed wire', "" [[Robbins]] it 's in her mouth"", ' [[Robbins]] could be a dental appliance', ' [[Catherine]] or maybe some kind of torture device', "" [[Robbins]] you 're thinking ritualistic ?"", "" [[Catherine]] oh , i do n't know what i 'm thinking"", ' ( Suddenly , Grissom appears in the doorway , his face alight with eagerness . )', ' [[Grissom]] hey !', ' [[Grissom]] they told me you dug up two bodies covered in tar ?']",0,None
3,"[' ( The block of tar . )', ' ( The camera slowly pulls away from the block of tar . )', ' ( We find Catherine and Grissom standing over it trying to figure out how to get to the evidence inside . )', ' [[Grissom]] so', ' [[Grissom]] how you going to separate them ?', "" [[Catherine]] i 'm not sure yet"", "" [[Catherine]] obviously i ca n't saw through without potentially destroying evidence , so ... if the tar were harder , i could chisel it"", ' [[Catherine]] if it were softer , we could peel it off', ' ( Grissom smiles knowingly . )', ' [[Grissom]] i have an idea', ' [[Catherine]] of course you do , but last i checked , the backlog on grave was about ... mmm ... a hundred cases ?', "" [[Grissom]] you 've been spending too much time with ecklie"", "" [[Grissom]] i 'm off the clock"", ' [[Grissom]] i came in early for this', ' ( Camera refocuses on the pair of shoes sticking out of the tar block . )', ' ( Cut to : Catherine uses a drill and bores a hole into the tar block . )', ' ( Grissom places a funnel into the holes that Catherine drilled . )', ' ( They line up down the middle of the tar block . )', ' [[Catherine]] you ever done this before ?', ' [[Grissom]] nope ... but i do know that tar becomes as brittle as glass at about minus two hundred degrees', ' ( Cut to : They fill a canister up with liquid nitrogen . )', ' ( Grissom pours the liquid into the funnels . )', ' ( He fills up three funnels . )', ' ( On the fourth funnel ... )', ' ( Quick CGI POV : Camera zooms down into the funnel following the liquid into the tar block . )', ' ( The liquid nitrogen freezes the tar . )', ' ( End of CGI POV . )', ' ( Resume to present . )', ' ( Grissom uses a hammer and hand axe and taps the block down the middle following the line of funnels . )', ' [[Catherine]] okay , mr wizard', ' ( Grissom hits the hammer hard and the block breaks neatly into two pieces . )', "" ( Catherine 's impressed . )"", ' ( Cut to : Both Catherine and Grissom work on one of the blocks , using hand canisters to spray liquid nitrogen , and chip away at the pieces of tar to get to the body inside . )', ' ( Cut to : They continue working on the block , exposing more and more of the body inside . )', ' [[Catherine]] not much left of her but the clothes', "" [[Grissom]] well , let 's see what our other one looks like , shall we ?"", ' ( They move over to the second tar block and start working on that . )', ' ( They spray and chip at the block . )', ' ( Grissom gets a piece of tar loose and lifts it up . )', ' ( He peels the tar piece off . )', ' ( The skull inside collapses and crumbles . )', ' ( Grissom stares at the broken skull . )', ' ( He turns and looks at Catherine . )', ' [[Grissom]] huh', ' ( Catherine clears her throat . )', ' ( Grissom glances down at his watch . )', ' [[Grissom]] oh , boy', ' [[Grissom]] i got ta get my shift started', ' [[Grissom]] good luck with the case', ' [[Catherine]] no , no , no', "" [[Catherine]] you 're not going to just destroy this skull and split"", ' [[Grissom]] you can make a nice mold from the impression', "" [[Catherine]] i 'm short-handed as it is"", ' ( Grissom takes his glasses off . )', ' [[Grissom]] i think sara just wrapped a case', "" [[Grissom]] if you need her , she 's yours"", ' ( He turns and makes his escape , leaving Catherine exasperated . )']",0,None
4,"[' ( Greg is standing in front of his mirror in a suit and tie . )', "" ( He 's straightening his hair trying to get it to stay down . )"", ' ( Sara walks into the locker room . )', ' ( She sees Greg and stops . )', ' [[Sara]] wow', ' [[Sara]] look at you , mr straightedge', ' [[Sara]] i did not know that your hair could do that', ' [[Greg]] i look like a dork', ' [[Sara]] no , no', ' [[Sara]] no , you look like a pro , which is what you are', ' [[Sara]] let me guess - a prelim for sherlock ?', ' [[Greg]] yep', ' ( Sara puts her bag in the locker . )', ' ( She takes her jacket off . )', ' [[Sara]] uh-huh', "" [[Sara]] who 's your judge ?"", ' [[Greg]] uh ... dudley ... anderson ?', ' ( Sara grimaces . )', ' [[Sara]] yeah', ' [[Sara]] well , not the sharpest tool in the shed', ' ( She hangs up her jacket and turns to give Greg some advice . )', ' [[Sara]] speak slowly', "" [[Sara]] use simple terms you 're gon na nail it"", ' ( Catherine pokes her head in the doorway . )', ' [[Catherine]] sara', "" [[Catherine]] you 're mine tonight"", ' ( Catherine leaves as Sara turns around . )']",0,None
5,"[' ( David Phillips examines the remains . )', ' ( He touches the skull and lifts up the arm . )', "" ( He takes a swab of some of the bloodstains on the victim 's clothing . )"", ' ( He tests it . )', ' ( It turns pink . )', "" ( Sara sprays the inside of the piece of tar covering the victim 's face as she prepares to reconstruct the victim 's face . )"", ' ( She mixes the molding and pours it into the tar piece . )', "" ( Nick examines the victim 's clothing and checks the clothing label . )"", "" ( Meanwhile , David Phillips takes out the bone pieces that he 's been boiling . )"", ' ( He adds more bone pieces to put back into the pot . )', ' ( He removes the wire mouthpiece from the batch and sets it aside . )', ' ( Sara removes the mold from the tar piece . )', "" ( She flips it over and looks at the mold of the woman 's face . )"", ' ( Later back at the forensics lab , Doc Robbins is fitting the pieces of the broken skull back into place . )', ' ( The cleaned skull is set on a stand . )', ' ( He turns the skull around to examine the back . )', "" ( Sara has the victim 's mask on a stand as she paints the face in a flesh-colored tone . )"", ' ( She continues to work . )', ' ( Various dissolves as she finishes . )']",0,None
6,"[' ( Sara finishes the face and places it on the table , face away from her . )', ' [[Sara]] ladies and gentlemen , miss jane doe top', ' ( Catherine , Warrick and Nick are standing in the doorway . )', ' [[Catherine]] my god', ' [[Warrick]] nice job', ' [[Sara]] thanks', ' ( They walk in and take a seat at the table . )', ' ( Catherine sits next to Sara )', ' [[Catherine]] thank you , sara', "" ( Catherine turns the mold of the victim 's face toward her . )"", ' [[Catherine]] well , doc robbins told me that she had severe trauma to the skull , probably what killed her', ' [[Warrick]] well , that would explain the blood david found on her shirt', "" [[Warrick]] mia 's running dna right now to find out if it matches the victim , or any suspects , for that matter"", ' [[Nick]] remember , now , she had a broken jaw', ' [[Nick]] that was 26-gauge stainless steel', "" [[Nick]] it 's used to surgically wire jawbones shut"", "" ( Sara looks at the photos of the victim 's hands . )"", "" [[Sara]] what 's with the fingers ?"", ' [[Catherine]] distal phalanges were cut off', ' [[Catherine]] both vics , both hands', ' [[Catherine]] i cast tool marks , looks like some kind of opposed blade tool', ' [[Catherine]] jagged on one side , smooth on the other', ' [[Nick]] well , if it was pre-mortem , that would support torture', ' [[Warrick]] yeah , but if it was post , they probably did it to conceal identity', ' ( David Hodges enters the room . )', ' [[Hodges]] hey , you guys still working on that mass-grave theory ?', ' [[Catherine]] yeah', ' [[Hodges]] you know what i like about flesh decomposing in soil ?', "" [[Hodges]] it 's predictable"", ' ( Quick CGI POV to : The body in the tar block decomposes . )', ' ( In fast motion , the rotting flesh off the skull slides off , revealing the muscle under it . )', ' ( The muscle rots , slides off the skull and dries up . )', ' [[Hodges]] the constituent elements diffuse into the ground over time', ' ( Camera swings over to the soil underneath , showing the liquid flesh dripping off the bones and seeping into the soil under the corpse . )', ' ( End of CGI POV . )', ' ( Resume to present . )', "" [[Hodges]] the longer they 're there , the lower the concentrations"", ' [[Hodges]] i tested the soil samples nick took from around each body', ' [[Hodges]] curly sue was on the bottom for at least five years , and flat sally was on top for only two', ' ( Hodges turns and leaves the lab . )', "" [[Catherine]] so we 've got a killer who digs a grave , dumps a body , covers it with tar , comes back three years later , digs again and dumps another one on top of it ?"", ' ( Sara looks at the photos . )', "" [[Sara]] ten to one , it 's domestic abuse"", ' [[Sara]] beat up , then shut up']",1,Death cause
7,"[' [[Nurse]] you hitting every e.r', ' [[Nurse]] in town ?', ' [[Sara]] seems like it', ' ( The nurse carries in a file box . )', ' ( She walks over to Sara who is sitting behind a desk . )', ' [[Nurse]] these are all the jaw fractures that came in from two to three years ago', ' [[Sara]] thank you', ' ( The nurse opens the file box . )', "" [[Nurse]] we do n't get as many of these as we used to"", ' [[Sara]] domestic violence laws have forced men to get smarter about their hitting', ' ( The nurse leaves . )', ' ( Sara opens the first file folder and looks at the photo inside of a blonde-haired woman with bruises on her face . )', "" ( She opens a second file folder and compares the battered woman 's photo to the photo of the mold of the victim 's face . )"", ' ( No match . )', ' ( She sets the file folder aside and continues . )', ' ( In the voice over background noises , we hear the muffled sounds of a man and a woman yelling . )', ' ( Flash to : Sara rubs the back of her neck as she goes through the file folder . )', ' ( Another flash and we get a close up of Sara nervously twitching her thumb . )', ' ( She closes the file folder and sets it aside . )', ' ( Various flashes of : Sara continues to go through the file folders , viewing photos of battered women and comparing it to the photo of her Jane Doe Top . )', ' ( Finally , she finds a photo that matches her mold . )', ' ( She looks at the Admission Record: )']",0,None
8,"[' ( Catherine opens the door . )', ' ( Andrew Melton arrives with his very young wife , June . )', "" [[Andrew_Melton]] why do n't you , uh , you wait for me here , okay ?"", ' ( June turns around and obediently sits down in the hallway chair . )', ' ( Andrew Melton enters the interview room . )', ' [[Catherine]] mr melton , take a seat', ' ( Catherine closes the door behind him . )', ' ( Andrew Melton sits at the table . )', ' ( Sara glares at him . )', ' [[Andrew_Melton]] i married , uh , june about a year after svetlana left', ' [[Catherine]] and when was the last time that you saw svetlana ?', ' [[Andrew_Melton]] it was about two years ago', "" [[Andrew_Melton]] she did n't come home one night"", ' [[Andrew_Melton]] next thing i know , the cops are knocking down my door', ' [[Andrew_Melton]] i thought something happened to her , but they were there to arrest me', ' [[Andrew_Melton]] for hitting her', "" [[Sara]] are you saying that you did n't ?"", ' [[Andrew_Melton]] we were married for three years', ' [[Andrew_Melton]] i never hit her', ' [[Sara]] why would she lie ?', "" [[Andrew_Melton]] i do n't know"", ' ( Catherine watches Sara . )', ' ( She turns back to Andrew Melton . )', ' [[Catherine]] and then what happened ?', ' [[Andrew_Melton]] after that , i', ' [[Andrew_Melton]] i was done', ' [[Andrew_Melton]] i went looking for her to sign the divorce papers , but', ' [[Andrew_Melton]] it was like she fell off the face of the earth', ' [[Sara]] or got buried a few feet under it', "" ( Catherine turns to Sara , surprised by what she 's saying . )"", ' [[Andrew_Melton]] look , i took out ads in the newspaper every day for a month', ' [[Andrew_Melton]] she never responded', "" [[Catherine]] yet you did n't file a missing persons report"", "" [[Andrew_Melton]] i 'd been accused of abuse"", ' [[Andrew_Melton]] how would that have looked ?', "" [[Sara]] you seem to care a lot about the way things look , mr melton well , we 're gon na need a list of svetlana 's friends and family"", "" [[Andrew_Melton]] she did n't have any"", ' [[Sara]] she spawned from nothingness ?', ' [[Andrew_Melton]] her parents died in some kind of industrial accident in odessa', ' [[Catherine]] russia ?', ' [[Andrew_Melton]] yeah', ' [[Catherine]] how did the two of you meet ?', ' [[Andrew_Melton]] through an agency', ' [[Sara]] svetlana was a mail-order bride ?', ' [[Andrew_Melton]] we were introduced through an agency', ' [[Sara]] so what happened , the russian agency denied your application for another wife , or , uh , you lost your taste for white meat ?', ' [[Sara]] too tough ?', "" ( Catherine 's eyes widen and jaw drops . )"", ' ( Andrew Melton gets angry . )', ' ( Catherine puts a hand to her forehead as the entire interview falls apart . )', ' [[Andrew_Melton]] you know what , lady ?', ' [[Andrew_Melton]] i am not gon na feel bad about my decision', ' [[Andrew_Melton]] i dated american women , like you', "" [[Andrew_Melton]] they do n't want to be anyone 's wife , or mother -"", "" [[Andrew_Melton]] -- you mention the word 'domestic , ' they 're done with you"", "" [[Andrew_Melton]] it 's nice to be needed"", ' [[Andrew_Melton]] ... not resented', ' [[Sara]] yeah , i find isolation and dependency really sexy , too', ' [[Andrew_Melton]] you know , what , you can think whatever you want', ' ( Andrew Melton gets up and heads for the door . )', ' ( He leaves . )', ' ( June stands up as he steps out into the hallway . )', ' ( With a last glance at the interview room , he leaves . )', ' ( Catherine and Sara walk down the hallway . )', ' [[Sara]] look , all i am asking is to have a black-and-white do regular welfare checks', ' [[Catherine]] did the wife ask for help ?', "" [[Sara]] well , that 's kind of hard to do when you do n't speak english and you 're a s*x slave"", "" [[Sara]] i 'm sure she does n't know her rights"", "" [[Catherine]] you ca n't arrest someone for marrying the wrong person"", ' [[Sara]] you would know', ' ( Catherine lets that one slide . )', "" [[Catherine]] if the guy 's an abuser , if he killed his first wife , we will build a case and we will nail him"", ' [[Sara]] and in the meantime , he can just keep using her as a punching bag', "" [[Catherine]] sara , i was there -- there was n't a mark on her"", ' [[Sara]] not that we could see , catherine', ' ( They stop walking . )', ' ( In the back of the hallway , Conrad Ecklie steps out of the lab and sees Catherine and Sara . )', ' [[Catherine]] you know ... every time we get a case with a hint of domestic violence or abuse , you go off the deep end', ' [[Catherine]] what is your problem ?', "" [[Sara]] yeah , i probably do , and you let your sexuality cloud your judgment about men , and i 'm gon na go over your head"", ' [[Conrad_Ecklie]] sidle', ' ( Sara turns and looks at Ecklie . )', ' [[Conrad_Ecklie]] get in my office', ' [[Conrad_Ecklie]] now']",1,"Victim,Perpetrator"
9,"[' ( The office door opens . )', ' ( Ecklie and Sara step inside . )', ' [[Conrad_Ecklie]] you are a law enforcement officer and a representative of this city', ' [[Conrad_Ecklie]] that means i expect you to conduct yourself in an appropriate manner , in and away from this lab', ' ( Ecklie walks around the desk and sits down . )', "" [[Sara]] you know what , if this is gon na be one of your 'for the good of the lab ' speeches , do n't bother"", "" [[Sara]] i 've heard them"", ' [[Conrad_Ecklie]] just take a seat', ' ( Sara remains standing . )', ' ( Ecklie opens his desk drawer and takes out a file folder . )', ' [[Conrad_Ecklie]] willows is a supervisor -- that means you treat her with respect', ' [[Conrad_Ecklie]] insulting her in front of coworkers', "" [[Sara]] she 's not my supervisor"", ' [[Conrad_Ecklie]] all right -- your superior', ' [[Conrad_Ecklie]] sara , you berate witnesses , you disrespect the people you work with , you luck your way out of a dui', ' [[Conrad_Ecklie]] take a look -- you got a half a dozen complaints in your jacket', "" [[Conrad_Ecklie]] and if grissom really documented your performance , there 'd probably be a dozen more -- that 's not the kind of person i want in my lab"", "" [[Sara]] the only reason this is your lab is because grissom does n't kiss ass"", "" [[Sara]] you could n't hack it in the field , so you fail your way up , you break up our team , and now you just hang out in the hallways waiting for one of us to screw up"", "" [[Conrad_Ecklie]] sidle , you 're on one-week suspension without pay ,"", ' [[Sara]] great', "" [[Conrad_Ecklie]] ... and when you get back , you 're apologizing to catherine"", "" [[Sara]] no , i 'm not"", ' ( Sara turns and leaves the office . )']",0,None
