scene_id,scene_text,in_summary,aspects
0,"[' ( ZEPHYR walks out on stage , pulls out two show swords from a rack . )', ' ( He holds them up . )', ' ( His assistant presents him . )']",0,None
1,[' ( Overhead view of a large intersection on the strip taped in high-speed showing cars traveling at the intersection . )'],0,None
2,"[' ( ZEPHYR is on stage holding up the two swords in front of a large glass case . )', ' ( Cut to a scene of the audience clapping . )']",0,None
3,[' ( Close up of an overhead view of a large intersection on the strip taped in high-speed showing cars traveling at the intersection . )'],0,None
4,"[' ( Back to ZEPHYR on stage . )', "" ( He holds up the two swords and hits them against each other to show that they 're real . )""]",0,None
5,"[' ( ZEPHYR on stage looks out on the audience . )', ' [[Zephyr]] i need one volunteer from the audience', ' [[Audience_(woman)]] here !', ' [[Audience_(woman)]] here !', ' ( The assistant looks out into the audience looking for a volunteer . )', ' ( ZEPHYR points to someone . )', ' [[Zephyr]] you', ' [[Zephyr]] in the blue dress', ' ( Sitting in the audience with her head slightly turned away from the stage is a red-haired woman in a dark blue dress . )', "" ( She 's sitting in the seat nearest the aisle . )"", ' ( She turns around , looks around and stands . )', ' ( She walks to the stage as the audience applauds . )', ' ( The assistant escorts the woman volunteer up onto the stage . )', ' ( She opens the glass chamber door . )', "" ( ZEPHYR puts one of the swords he 's carrying forcibly back into the piece of wood . )"", ' [[Zephyr]] step into the box', ' [[Zephyr]] hands by your sides', "" [[Zephyr]] do n't move"", ' ( The woman steps into the chamber . )', ' ( The assistant closes the chamber door and it starts to fill with a white cloud of gas . )', "" ( ZEPHYR puts the sword he 's carrying through the slots in the chamber . )"", ' ( The audience gasps . )', ' ( He moves to get another sword . )', ' ( He walks to the other side of the chamber and puts a sword through the slots . )', ' ( The audience gasps . )', "" ( The Magician 's Assistant hands the final sword to ZEPHYR . )"", ' ( He takes the sword and plunges it through the slot in the side of the chamber facing the audience . )', ' ( The sword meets some resistance , but he forces it through . )', ' ( The audience gasps . )', ' ( ZEPHYR turns around , stretches his arms and presents the chamber . )', ' ( The audience applauds . )', "" ( The gas dissipates inside the chamber revealing that it 's completely empty . )"", "" [[Zephyr]] and ladies and gentleman i assure you she 's quite all right"", "" [[Zephyr]] in fact , she 's ... spotlight , please"", "" ( The magician 's assistant walks through the audience and stops next to a seat . )"", ' ( She presents the seat where the woman should be just as the spotlight hits the seat . )', "" ( It 's empty . )"", ' ( The assistant looks around . )', ' ( ZEPHYR himself starts looking around the stage . )', ' ( He walks around the chamber to the front of the stage where his assistant meets with him . )', "" [[Matilda]] : i do n't know where she is"", ' ( ZEPHYR looks out into the audience . )', ' ( He takes off his mask and addresses them . )', ' [[Zephyr]] ladies and gentlemen', "" [[Zephyr]] i ca n't quite explain""]",1,Perpetrator
6,"[' ( Grissom enters the auditorium carrying his kit . )', ' ( He walks toward the stage where BRASS is waiting on the steps . )', ' [[Brass]] welcome to the house of illusion', ' [[Brass]] this is bizarre', "" [[Brass]] you 're not going to believe this"", "" [[Brass]] female volunteer goes on the stage , disappears and does n't come back"", ' [[Grissom]] was she supposed to ... reappear ?', "" [[Brass]] the amazing zephyr wo n't say"", ' ( GRISSOM climbs onto the stage and approaches the glass case with the three swords still in it . )', "" [[Brass]] you know magicians , they never reveal their tricks , but we 're working on him"", ' ( GRISSOM looks closely at the swords in the chamber . )', "" [[Grissom]] well , i can understand why he does n't want to reveal his trick ... but would he like to explain this blood ?""]",0,None
7,"["" ( BRASS fills GRISSOM in on what they 've discovered in their initial investigation . )"", ' [[Brass]] i got a bunch of police officers , uh canvassing the theater right now', ' [[Brass]] no sign yet , but we have traced the woman back to her aisle seat , 8a', ' [[Brass]] paid cash', "" [[Grissom]] magic is fun , jim , but it 's not real"", ' [[Grissom]] the woman is somewhere', ' [[Brass]] thanks for that', ' [[Brass]] thanks', ' ( GRISSOM leaves BRASS . )', ' ( A tourist being detained by the police approaches BRASS . )', ' [[Tourist_(woman)]] excuse me', ' [[Brass]] yeah ?', ' [[Tourist_(woman)]] um , hi , are we finished here ?', ' [[Brass]] no', ' [[Brass]] you were sitting in front of the volunteer , is that right ?', ' [[Tourist_(woman)]] mm-hmm', ' [[Brass]] you take any photos during the show ?', ' [[Tourist_(woman)]] uh', "" [[Brass]] we 're going to need your camera"", "" [[Tourist_(woman)]] but our whole trip 's on there"", "" [[Brass]] we 'll get the negatives back to you"", ' [[Brass]] michael', ' [[Brass]] thanks for your help', ' ( BRASS leaves the tourist couple to the other officer . )']",0,None
8,"[' ( Up on stage , SARA is examining the swords from the glass chamber . )', ' ( She pulls one out just as GRISSOM arrives to check it out . )', ' ( He checks the edge of the sword . )', ' [[Grissom]] dull as a spoon', ' [[Sara]] from a distance , it looks razor-sharp', "" [[Grissom]] that 's the point"", ' [[Grissom]] so is it real blood ?', "" [[Sara]] well , let 's see"", ' ( SARA checks . )', "" [[Sara]] that 's real blood , all right""]",0,None
9,"[' ( ZEPHYR is taking off his make-up in his dressing room . )', ' ( GRISSOM is there questioning him . )', ' [[Zephyr]] nothing is as it seems , is it ?', "" [[Grissom]] that 's the conflict of magic -- the burden of knowledge versus the mystique of wonder"", "" [[Zephyr]] and you 're wondering right now -- i can hear your mind ticking -- 'was she a plant ?"", ' [[Zephyr]] was it real ?', ' [[Grissom]] well , there are no secrets , are there ?', ' [[Grissom]] only hidden answers', "" [[Zephyr]] i 'm an honest liar , sir"", "" [[Zephyr]] in my line of work it 's accepted"", ' [[Zephyr]] you could say it was my livelihood', ' [[Grissom]] well , my livelihood is dispelling lies and finding the truth', ' ( ZEPHYR points to the box of tissues in front of GRISSOM . )', ' ( GRISSOM pulls out a tissue and hands it to ZEPHYR . )', "" [[Zephyr]] my secrets ca n't be revealed by any microscope"", "" [[Grissom]] yeah ... but there 's a woman missing"", "" ( ZEPHYR reaches behind GRISSOM 'S right ear and pulls out a large coin He shows it to GRISSOM . )"", ' [[Zephyr]] the only thing missing', ' ( ZEPHYR holds the coin in the palm of his left hand and uses his right hand to elaborately grab the coin from his left hand . )', ' ( He holds it loosely in a fist , shakes it a couple of times and opens it to reveal that the coin is missing . )', ' [[Zephyr]] ... is this', ' [[Grissom]] very nice', "" [[Grissom]] so , where 'd she go ?"", "" [[Zephyr]] from the salt in my marrow , i do n't know"", "" [[Zephyr]] i mean , i ca n't give you this"", ' ( ZEPHYR holds out his empty right hand . )', ' [[Zephyr]] ... but i can give you', ' ( ZEPHYR looks back at his left hand holding the coin )', ' [[Zephyr]] ... that', ' ( Amused , GRISSOM picks up the coin and looks at it . )', ' ( ZEPHYR resumes removing his make-up . )', "" [[Zephyr]] it 's as real as my answer"", ' ( GRISSOM hands the coin back to ZEPHYR . )', ' [[Zephyr]] no , you can keep it', ' ( ZEPHYR smiles . )']",0,None
