scene_id,scene_text,in_summary,aspects
0,"[' ( A police car pulls up the parking lot and stops in front of the store . )', ' [[Officer_Clay]] what do you need to get ?', "" [[Officer_Fromansky]] actually , it 's what you need to get , rook"", ' ( OFFICER FROMANSKY hands OFFICER CLAY some bills . )', ' [[Officer_Clay]] aw , come on , man', "" [[Officer_Clay]] we 're off duty"", "" [[Officer_Fromansky]] you 're off when i say you 're off"", ' ( With the bills in his fingers , he motions toward the store . )', ' ( OFFICER CLAY grabs the bills . )', ' ( He opens the car door and gets out . )', "" [[Officer_Fromansky]] do n't forget the ho-hos"", ' ( OFFICER CLAY waves the bills over his shoulder as he heads into the supermarket . )', ' ( OFFICER CLAY walks into the supermarket . )', ' ( Stifling a yawn , he heads toward the aisle to get his things . )', "" ( Cut to : He looks into the refrigerator racks , finds what he 's looking for , opens the door and grabs the container of milk . )"", ' ( Cut to : OFFICER CLAY heads back to the checkout counter . )', ' [[Celeste_Turner]] i can help you over here , sir', ' ( He points to the light . )', "" [[Officer_Clay]] that 's not what your light says"", ' ( She reaches out and turns the light on . )', ' [[Officer_Clay]] slow night ?', ' [[Celeste_Turner]] kind of', ' ( He puts the container of milk on the check out counter and turns to head back into the aisle . )', "" [[Officer_Clay]] oh ... ca n't forget the ho-hos"", "" ( He finds the Ho-Ho 's and absently glances up at the mirrors in the ceiling . )"", ' ( He sees a man in black carrying a gun walking up the next aisle . )', ' ( OFFICER CLAY unholsters his gun . )']",1,"Victim,Perpetrator"
1,"[' ( GRISSOM , CATHERINE and WARRICK carry their kits past the emergency vehicles in the parking lot and head into the supermarket . )', ' ( They see bodies on gurneys being rolled into the EMT vehicles . )', ' ( They see a MR REED desperately trying to get past the officers and into the store . )', ' [[Mr._Reed]] get out of my way !', "" [[Mr._Reed]] i 've got to get in there !"", ' [[Mr._Reed]] what the hell is wrong with you people ?', ' [[Mr._Reed]] my wife is still in there !', "" [[Mr._Reed]] why is n't anybody helping my wife ?"", "" [[Officer]] we 're doing the best we can , sir"", ' [[Mr._Reed]] please !', "" [[Brass]] body count 's five"", ' ( GRISSOM looks around and sees OFFICER FROMANSKY sitting on the side , a blanket wrapped around his shoulder . )', ' ( OFFICER FROMANSKY watches GRISSOM head into the store . )']",1,Victim
2,"[' ( BRASS walks into the store followed by CATHERINE , WARRICK and GRISSOM . )', ' ( BRASS stops in front of the fallen officer and kneels down as he gives them the information . )', ' [[Brass]] officer clay entered the store unaware of a robbery that was in progress', ' [[Brass]] officer fromansky came in after he heard a shot fired', ' [[Brass]] engaged two suspects', ' [[Brass]] lit the place up', ' ( WARRICK looks down the aisle and sees additional dead bodies . )', ' [[Brass]] the ski masks are john does', ' [[Brass]] the rest have wallet ids', ' ( Cut to : GRISSOM holds up the camera and snaps photos of the scene . )', ' ( CATHERINE snaps photos of JULIA REED . )', ' [[Brass]] woman at the back is julia reed , cocktail waitress at the tangiers', ' ( WARRICK snaps photos of RUFUS SANDERS . )', ' [[Brass]] man on aisle four is rufus sanders , cab driver', ' ( He snaps more photos . )', ' ( When finished , he moves over to the open bag of cash on the aisle floor . )', ' ( He snaps a photo . )', ' [[Warrick]] how you want us to handle this , grissom ?', "" [[Grissom]] same way you 'd eat an elephant ... one bite at a time"", ' ( GRISSOM looks around and notices some blood drops on the floor leading to under a table . )', ' ( He makes his way toward it . )', ' ( BRASS finishes up with an officer . )', "" [[Grissom]] hey , jim ... did you know that charles manson is only 5'2 ' ?"", ' [[Brass]] yeah , little guys tend to overcompensate', ' [[Grissom]] do you remember the , uh , story about ... how and where the marshals found old charlie when they raided barker ranch ?', ' [[Brass]] yeah', ' [[Brass]] i always , uh', ' ( BRASS quietly unholsters his gun . )', ' [[Brass]] i always liked that story', ' ( He kneels down and aims under the table . )', ' ( GRISSOM moves the cloth aside to show a little boy , awake , huddled on his side , shivering and bleeding from a gunshot wound . )', ' [[Grissom]] we need a medic !']",1,"Crime scene,Victim,Death cause"
3,"[' ( The medics wheel out the HENRY TURNER on a gurney . )', ' ( BRASS and GRISSOM interview OFFICER FROMANSKY . )', ' [[Brass]] all right , tell me what happened', ' [[Officer_Fromansky]] i was in my radio car when i heard shots fired', ' [[Officer_Fromansky]] i called for backup', ' [[Officer_Fromansky]] i went in', ' ( Quick flashback to : OFFICER FROMANSKY cautiously enters the supermarket . )', ' ( OFFICER CLAY is already dead on the floor . )', ' [[Officer_Fromansky]] clay , talk to me', ' [[Officer_Fromansky]] clay !', ' ( Gun shots are exchanged between OFFICER FROMANSKY and the ARMED SUSPECTS . )', ' ( They fire ; he fires . )', ' ( A woman screams )', ' ( OFFICER FROMANSKY hits the ARMED SUSPECT . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Brass]] how many shots you fire ?', ' [[Officer_Fromansky]] three', ' [[Officer_Fromansky]] no , four', ' [[Officer_Fromansky]] i fired four', ' [[Brass]] then what ?', ' [[Officer_Fromansky]] i saw my partner on the floor', ' [[Officer_Fromansky]] i went towards him', "" ( Quick flashback to : [_FROMANSKY_'S_POV_] OFFICER CLAY is on the floor , dead and bloody , his head in a small pool of blood . )"", ' [[Officer_Fromansky]] second gunman came at me', ' ( OFFICER FROMANSKY looks up and sees the SECOND GUNMAN . )', ' ( He fires multiple times . )', ' ( He gets hit in the shoulder . )', ' ( A woman screams )', ' ( OFFICER FROMANSKY gets back on his feet and continues firing until the GUNMAN goes down . )', ' ( The woman screams )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Brass]] how many shots you fire at the second gunman , total ?', ' [[Officer_Fromansky]] maybe-maybe five', "" [[Officer_Fromansky]] i 'd taken a shot in my vest"", ' [[Grissom]] hard to count under those conditions', ' [[Grissom]] are you sure ?', "" [[Officer_Fromansky]] no , i 'm not sure"", "" [[Officer_Fromansky]] that 's why i said maybe ... ... but i know i shot four at the third guy"", ' [[Officer_Fromansky]] i was going to check on my partner', ' [[Officer_Fromansky]] i caught movement in the back', ' [[Officer_Fromansky]] black coat , ski mask , gun', ' [[Officer_Fromansky]] i put him down', ' ( Quick flashback to : A THIRD GUNMAN as a dark blur runs across the screen from left to right . )', ' ( OFFICER FROMANSKY kneels next to his partner , looks up , sees the figure and fires multiple shots . )', ' ( A woman screams The GUNMAN falls to the floor . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Brass]] he fire at you ?', "" [[Officer_Fromansky]] did n't give him a chance"", "" [[Brass]] all right , that 's all we need to know"", ' [[Brass]] i need your weapon', ' ( BRASS holds out his hand and OFFICER FROMANSKY hands the gun handle first to him . )', ' ( GRISSOM watches BRASS check the weapon . )', ' [[Officer_Fromansky]] my partner', ' [[Officer_Fromansky]] i want to be the one to tell his wife', ' [[Officer_Fromansky]] he was my responsibility', ' [[Brass]] all right', ' ( OFFICER FROMANSKY stands up to make the call . )', ' ( BRASS turns to GRISSOM . )', "" [[Brass]] all right , look , if you 're not going to say it , i will"", ' [[Brass]] fromansky said he killed three , and there are two dead ski masks in there', ' [[Brass]] now , you cranked him up pretty good on that vigilante case last year', ' [[Brass]] is that going to be a problem ?', ' [[Grissom]] no', ' ( GRISSOM turns and walks away . )']",1,None
4,"[' ( CATHERINE and WARRICK speak with the other workers and witnesses at the back of the market . )', ' [[Catherine]] everybody , could i please have your attention ?', "" [[Catherine]] all right , folks , i know that you 've been through an awful lot this evening"", ' [[Catherine]] if you could just bear with me a little longer , i need to talk with every one of you one at a time , so i promise to get you out of here as quickly as possible', "" [[Catherine]] is the , uh , guy in black the cocktail waitress ' husband ?"", ' [[Officer_Metcalf]] yeah', ' [[Officer_Metcalf]] do you want him first ?', ' ( She looks at him , his head in his hands . )', "" [[Willows]] i do n't think he 's ready for me just yet"", "" [[Willows]] i 'm going to get to him soon enough""]",0,None
5,"[' ( SARA walks into find WARRICK processing OFFICER CLAY . )', ' ( He puts down evidence marker # 55 and # 56 near the casing . )', ' ( GRISSOM appears next to SARA . )', ' [[Grissom]] what happened to your assault in henderson ?', ' [[Sara]] i closed it', ' [[Sara]] where do you need me ?', "" [[Grissom]] there 's two more bodies over by the beer"", ' [[Sara]] you got it', ' ( SARA heads for the back . )', ' [[Warrick]] barely cleared the holster', ' [[Grissom]] reflex , maybe', ' [[Grissom]] pulled the trigger before he had a target', ' ( Quick flashback to : OFFICER CLAY pulling out his gun and firing before clearing the holster . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Warrick]] not quick enough', ' ( WARRICK looks around at the blood spatter on the SUZY Q boxes . )', "" ( He puts down evidence marker # 57 next to OFFICER CLAY 'S head . )""]",0,None
6,"[' ( CATHERINE interviews the BAGBOY . )', ' [[Bagboy]] those two guys came out of nowhere ... made everybody go to the corner', ' [[Catherine]] where , specifically ?', ' [[Bagboy]] uh ... dry goods', ' [[Bagboy]] then one guy grabs celeste', ' ( Quick flashback to : CELESTE TURNER behind the check out counter . )', ' ( Cut to : Through the reflection of the ceiling mirror , the GUNMAN pushes CELESTE TURNER , forcing her to open the register . )', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Catherine]] which guy ?', ' ( He glances quickly behind him before answering . )', ' [[Bagboy]] i was looking at his piece , not his face , okay ?', ' [[Catherine]] shotgun or handgun ?', ' [[Bagboy]] uh , shotgun', "" [[Bagboy]] he drags her over to the registers , makes her open 'em up"", ' [[Bagboy]] she does', "" [[Bagboy]] they 're pulling out the cash , and then he sees the cops roll up"", "" [[Bagboy]] second guy says , 'everybody , get down and do n't say a freaking word , ' so that 's what i did"", ' ( He glances behind him . )', ' [[Catherine]] and then', ' [[Bagboy]] ... and then ?', ' ( Quick flashback to : Everyone is huddled in the aisles , the GUNMAN as the gun on them . )', ' ( He looks up and runs over . )', "" ( There 's gunfire everywhere . )"", ' [[Bagboy]] ... ankles and flashes and booms', ' ( The BAGBOY has his head tucked under his arms )', ' ( End of flashback . )', ' ( Resume to present . )', "" [[Bagboy]] that 's all i remember"", ' [[Catherine]] and you never moved from that spot ?', "" [[Bagboy]] no , i did n't"", ' [[Catherine]] do you have somewhere you need to be ?', ' ( He looks at CATHERINE and pauses , embarrassed . )', ' [[Bagboy]] i got to change my pants', ' ( She glances down . )', ' [[Catherine]] sorry']",0,None
7,"[' ( GRISSOM processes the scene around the dead GUNMAN . )', ' ( He caps the swab tip , looks at the gunman , then pulls the ski mask down below his chin to look at his face . )', ' ( Cut to : SARA processes the scene around the SECOND GUNMAN . )']",0,None
8,"[' ( NICK gathers the security tapes from the machines . )', "" [[Manager]] well , you know , we 're not the most modern store around"", ' [[Nick]] how long is the surveillance loop ?', ' [[Manager]] about 24 hours', ' ( NICK finds some tapes missing . )', ' [[Nick]] what , uh ... what happened to these tapes here ?', ' [[Manager]] nothing', ' [[Nick]] these are active cameras , right ?', ' [[Manager]] those vcrs are busted', "" [[Manager]] never got 'em fixed"", ' [[Manager]] you know , cutbacks', ' [[Manager]] over the register and outside works', "" [[Manager]] that 's all we really need"", ' [[Manager]] got ta keep an eye on the employees , right ?', ' [[Nick]] right', ' [[Manager]] they steal worse than the customers']",0,None
9,[' ( WARRICK checks the win at the machine . )'],0,None
