scene_id,sentence_id,sentence_text,in_summary
0,0," [[Woman]] this wo n't help , do n't you see ?",0
0,1," [[Woman]] after me , there 'll be others",0
0,2," [[Woman]] you 'll have to go on killing , on and on until they catch you",0
0,3, [[Woman]] i wo n't be the last ;,0
1,0, [[Woman]] ... there 'll be others after me,0
1,1," [[Woman]] you ca n't help yourself because you 're mad , mad , mad !",0
1,2, ( A cell phone rings . ),0
1,3, [[Man]] no one will question you,0
1,4, [[Man]] they 'll say it 's just another suicide,0
1,5, ( The cell phone rings . ),0
1,6, [[Woman]] hello ?,0
1,7, ( A cell phone rings . ),0
1,8, [[Woman]] hello ?,0
1,9, ( The cell phone continues to ring and is irritating the other members of the audience . ),0
1,10, [[Audience]] shh !,0
1,11, [[Man_In_Audience]] turn it off !,0
1,12, ( The cell phone rings . ),0
1,13, ( The USHER walks into the theatre and starts looking for the person with the cell phone . ),0
1,14, [[Woman]] burgess !,0
1,15, [[Woman]] burgess !,0
1,16, ( The phone on the screen hangs up . ),0
1,17, [[Woman]] burgess !,0
1,18, ( The cell phone in the audience continues to ring . ),0
1,19, [[Woman]] burgess !,0
1,20, ( The USHER finds the MAN sitting in his seat with the cell phone clutched in his left hand and approaches him from one row behind . ),1
1,21, ( From on screen comes the sound of glass shattering . ),0
1,22," [[Usher]] excuse me , sir",0
1,23, [[Usher]] i 'm going to have to ask you to turn the phone off,0
1,24, ( The USHER gets no response from the MAN . ),0
1,25, [[Usher]] sir ?,0
1,26, [[Usher]] i 'll have to,0
1,27," ( The USHER taps the MAN on the shoulder and he slumps forward , blood oozing out from his mouth and into his popcorn . )",1
1,28, ( The cell phone continues to ring . ),0
2,0, ( CATHERINE and GRISSOM walk into the theatre . ),0
2,1, [[Catherine]] whoo !,0
2,2, [[Catherine]] theaters are like nightclubs ; they should always keep the lights off,0
2,3, ( They walk toward the body still sitting in the theatre seat . ),0
2,4, [[Grissom]] this is the last art house left in vegas,0
2,5," [[Grissom]] i saw baraka here , on a double bill with koyaanisqatsi",0
2,6, [[Catherine]] was there anyone else here ?,0
2,7, [[Grissom]] sure,0
2,8, [[Catherine]] with you ?,0
2,9, [[Grissom]] no,0
2,10, ( GRISSOM and CATHERINE walk through the rows and reach the body . ),0
2,11, ( GRISSOM is standing one row behind the body and CATHERINE is in the same row as the body . ),0
2,12, ( GRISSOM puts his kit down and both lean over to look at the body . ),0
